Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR20705542,RNA-Seq,50,3456238250,PRJNA863398,SAMN30032941,Plant,2114629730,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,NARC-2009,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727202,Pakistan,Asia,Pakistan,BGISEQ-500,SMN9_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:35:00Z,1,SMN9_L,SRP388693,leaf,control
SRR20705543,RNA-Seq,50,3175284500,PRJNA863398,SAMN30032940,Plant,1898037507,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Maxipak-65,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727201,Pakistan,Asia,Pakistan,BGISEQ-500,SMMX_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:36:00Z,1,SMMX_L,SRP388693,leaf,control
SRR20705544,RNA-Seq,50,3266504950,PRJNA863398,SAMN30032939,Plant,1971570932,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Inquilab-91,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727200,Pakistan,Asia,Pakistan,BGISEQ-500,SMIN_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:35:00Z,1,SMIN_L,SRP388693,leaf,control
SRR20705545,RNA-Seq,50,3190909800,PRJNA863398,SAMN30032903,Plant,1787878764,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Chakwal-50,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727199,Pakistan,Asia,Pakistan,BGISEQ-500,SMCH5_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:56:00Z,1,SMCH5_R,SRP388693,root,control
SRR20705546,RNA-Seq,50,3169822650,PRJNA863398,SAMN30032938,Plant,1905375650,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Hope,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727198,Pakistan,Asia,Pakistan,BGISEQ-500,SMH_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:38:00Z,1,SMH_L,SRP388693,leaf,control
SRR20705547,RNA-Seq,50,1116232000,PRJNA863398,SAMN30032937,Plant,672150835,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Gabo,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727197,Pakistan,Asia,Pakistan,BGISEQ-500,SMGB_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:29:00Z,1,SMGB_L,SRP388693,leaf,control
SRR20705548,RNA-Seq,50,2183184250,PRJNA863398,SAMN30032936,Plant,1329041417,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,GA-2002,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727196,Pakistan,Asia,Pakistan,BGISEQ-500,SMGA_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:35:00Z,1,SMGA_L,SRP388693,leaf,control
SRR20705549,RNA-Seq,50,2274217550,PRJNA863398,SAMN30032935,Plant,1354889730,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Dirk,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727195,Pakistan,Asia,Pakistan,BGISEQ-500,SMDI_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:33:00Z,1,SMDI_L,SRP388693,leaf,control
SRR20705550,RNA-Seq,50,3380193850,PRJNA863398,SAMN30032934,Plant,2048366322,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Dharabi-2011,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727194,Pakistan,Asia,Pakistan,BGISEQ-500,SMD_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:34:00Z,1,SMD_L,SRP388693,leaf,control
SRR20705551,RNA-Seq,50,1147301300,PRJNA863398,SAMN30032933,Plant,707998213,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Chakwal-97,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727193,Pakistan,Asia,Pakistan,BGISEQ-500,SMCH7_L,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:29:00Z,1,SMCH7_L,SRP388693,leaf,control
